department,commodity_desc,quarter_like_period,sales,households,baskets
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),3.0,664.4400000000002,80,100
DRUG GM,HOME FREEZING & CANNING SUPPLY,3.0,117.05,20,22
DRUG GM,COOKWARE & BAKEWARE,3.0,1040.5100000000007,141,162
NUTRITION,FITNESS&DIET,3.0,890.96,74,153
DRUG GM,EYE AND EAR CARE PRODUCTS,3.0,873.7100000000003,115,146
NUTRITION,CHIPS&SNACKS,3.0,744.7300000000002,134,236
DRUG GM,IRONING AND CHEMICALS,3.0,530.3600000000001,60,63
FLORAL,ROSES,3.0,912.2700000000003,59,70
DRUG GM,PROPANE,3.0,186.92000000000002,7,7
NUTRITION,BAKING,3.0,157.52000000000004,29,38
DRUG GM,SHOE CARE,3.0,106.33000000000001,35,38
NUTRITION,NON EDIBLE PRODUCTS,3.0,37.6,7,10
RESTAURANT,QUICK SERVICE,3.0,46.0,8,11
FLORAL,FLORAL- HARD GOODS,3.0,137.73000000000002,22,31
FLORAL,FLORAL-ACCESSORIES,3.0,102.46000000000001,7,10
DRUG GM,MISCELLANEOUS HBC,3.0,9.07,3,3
GROCERY,HISPANIC,5.0,6523.490000000014,928,1976
GROCERY,CHEESE,5.0,25885.31999999989,1633,6415
GROCERY,SPICES & EXTRACTS,5.0,3511.990000000007,766,1213
GROCERY,SALD DRSNG/SNDWCH SPRD,5.0,7466.390000000011,1214,2563
GROCERY,ICE CREAM/MILK/SHERBTS,5.0,11745.929999999953,1147,2878
PRODUCE,PROCESSED,5.0,2413.5400000000036,448,707
PRODUCE,GRAPES,5.0,4716.720000000001,809,1656
DRUG GM,TOYS AND GAMES,5.0,1624.2200000000018,254,369
DRUG GM,CANDY - CHECKLANE,5.0,4245.029999999999,1141,3491
GROCERY,TEAS,5.0,1525.8200000000004,316,452
GROCERY,PAPER TOWELS,5.0,4146.000000000004,679,1399
GROCERY,BEANS - CANNED GLASS & MW,5.0,2632.240000000006,743,1398
PRODUCE,VEGETABLES SALAD,5.0,2054.1000000000095,722,1523
GROCERY,FRUIT - SHELF STABLE,5.0,5664.769999999996,843,1814
GROCERY,CRACKERS/MISC BKD FD,5.0,8588.750000000025,1202,3031
GROCERY,FRZN MEAT/MEAT DINNERS,5.0,22194.02999999995,1052,3131
PASTRY,ROLLS,5.0,1446.9400000000014,398,730
GROCERY,FRZN BREAKFAST FOODS,5.0,3587.2199999999993,547,1079
GROCERY,DRY NOODLES/PASTA,5.0,3047.7099999999973,944,1862
GROCERY,PET CARE SUPPLIES,5.0,1565.6300000000015,219,325
DRUG GM,CANDLES/ACCESSORIES,5.0,369.01,64,85
DRUG GM,J-HOOKS,5.0,351.9999999999999,88,98
GROCERY,FRZN POTATOES,5.0,3094.3600000000015,650,1228
GROCERY,PWDR/CRYSTL DRNK MX,5.0,2730.2300000000014,488,837
DRUG GM,BATTERIES,5.0,1453.13,236,270
DRUG GM,FIRST AID PRODUCTS,5.0,1837.840000000002,298,396
DRUG GM,BABY HBC,5.0,2111.920000000003,301,512
SEAFOOD,SEAFOOD-FRESH,5.0,3016.0300000000007,221,410
PRODUCE,MUSHROOMS,5.0,1783.0700000000036,348,729
DELI,PARTY TRAYS,5.0,1086.8900000000003,50,66
NUTRITION,CEREAL/BREAKFAST,5.0,1006.4500000000007,102,210
SEAFOOD-PCKGD,SEAFOOD - MISC,5.0,329.3800000000001,126,156
DRUG GM,FOOT CARE PRODUCTS,5.0,586.07,65,80
DELI,SUSHI,5.0,626.9499999999999,39,76
MEAT,EXOTIC GAME/FOWL,5.0,102.37,14,14
DRUG GM,FIREWORKS,5.0,188.00000000000009,30,30
DRUG GM,GLASSWARE & DINNERWARE,5.0,133.44,31,31
GROCERY,NEW AGE,5.0,224.28999999999996,39,51
DRUG GM,COUPON/MISC ITEMS,5.0,8.98,2,2
SEAFOOD-PCKGD,PKG.SEAFOOD MISC,5.0,24.43,2,5
MEAT,BEEF,4.0,42933.09000000004,1397,5106
PRODUCE,CITRUS,4.0,4925.9300000000085,828,2004
PRODUCE,TROPICAL FRUIT,4.0,5578.549999999997,1254,4444
GROCERY,LAUNDRY DETERGENTS,4.0,7962.399999999974,704,1264
DRUG GM,CHARCOAL AND LIGHTER FLUID,4.0,985.22,121,177
GROCERY,DOG FOODS,4.0,7634.759999999991,390,1037
GROCERY,FRZN VEGETABLE/VEG DSH,4.0,6854.860000000016,875,1982
GROCERY,COFFEE,4.0,8906.659999999965,711,1601
MEAT-PCKGD,BACON,4.0,6306.229999999998,744,1519
DRUG GM,COLD AND FLU,4.0,4887.600000000008,541,926
DRUG GM,HAND/BODY/FACIAL PRODUCTS,4.0,3045.4600000000023,305,409
MEAT-PCKGD,FROZEN MEAT,4.0,7587.619999999986,642,1198
PRODUCE,ORGANICS FRUIT & VEGETABLES,4.0,2313.650000000003,430,769
GROCERY,SNACK NUTS,4.0,2534.4100000000017,367,681
MEAT,TURKEY,4.0,2130.3900000000012,224,329
PRODUCE,BROCCOLI/CAULIFLOWER,4.0,1579.4900000000032,390,718
DRUG GM,CHRISTMAS  SEASONAL,4.0,1881.750000000002,265,370
GROCERY,FROZEN PIE/DESSERTS,4.0,2745.350000000002,519,880
DRUG GM,OVERNIGHT PHOTOFINISHING,4.0,176.12,17,22
MEAT-PCKGD,MEAT - MISC,4.0,8718.849999999955,606,1090
DRUG GM,HAIR CARE ACCESSORIES,4.0,688.0500000000004,145,172
DRUG GM,STATIONERY & SCHOOL SUPPLIES,4.0,2409.2400000000034,445,667
DRUG GM,DISPOSIBLE FOILWARE,4.0,410.2499999999999,104,119
DRUG GM,IN-STORE PHOTOFINISHING,4.0,999.3200000000002,71,90
DRUG GM,LAXATIVES,4.0,1290.5100000000004,133,210
DRUG GM,TOBACCO OTHER,4.0,440.02,81,109
DELI,SNACKS,4.0,564.8700000000001,118,176
GROCERY,MISC WINE,4.0,1685.5000000000014,176,216
GROCERY,IMPORTED WINE,4.0,2853.850000000002,116,247
GROCERY,FRZN JCE CONC/DRNKS,4.0,925.7200000000003,164,281
