department,commodity_desc,category_sales,units,household_count,household_penetration,basket_penetration,discount_rate,first_year_sales,second_year_sales,sales_growth
MEAT-PCKGD,HOT DOGS,33983.229999999705,18364.0,1788,0.7152,0.039778070340417526,0.3462720643641184,15424.29,18558.93999999996,3134.649999999958
NUTRITION,FROZEN,10721.330000000005,3417.0,324,0.1296,0.005591643639414939,0.08235995518291736,4778.080000000002,5943.250000000005,1165.1700000000028
DRUG GM,J-HOOKS,3167.220000000002,1021.0,544,0.2176,0.0033057970804820534,0.003526898500202928,1413.3899999999999,1753.8300000000006,340.44000000000074
GROCERY,ICE CREAM/MILK/SHERBTS,82426.59999999918,30629.0,2151,0.8604,0.07266243254582544,0.32478491767273754,38005.759999999835,44420.83999999977,6415.079999999936
GROCERY,COFFEE,64555.479999999145,15206.0,1589,0.6356,0.04152500687200706,0.11539133612512678,28544.29999999987,36011.1799999997,7466.879999999834
DRUG GM,PREPAID WIRELESS&ACCESSORIES,21644.469999999998,1213.0,302,0.1208,0.003804921803793348,0.1363457893581789,11085.130000000001,10559.34,-525.7900000000009
PASTRY,COOKIES,15203.03000000001,5614.0,1229,0.4916,0.013389563229698644,0.31199207108841875,6867.340000000004,8335.690000000006,1468.3500000000022
PRODUCE,CITRUS,24527.899999999958,26103.0,1654,0.6616,0.036758004079802085,0.06991091918718527,10888.460000000017,13639.43999999998,2750.979999999963
 , ,0.0,0.0,1423,0.5692,0.026735724309544132,,0.0,0.0,0.0
NUTRITION,REFRIGERATED,25323.01999999997,10216.0,729,0.2916,0.01872441081581574,0.08652762343372411,10282.490000000013,15040.529999999995,4758.039999999983
NUTRITION,RICE CAKES,3610.6100000000006,1908.0,445,0.178,0.00451382358472823,0.1476069301826194,1360.9899999999998,2249.62,888.6300000000001
MEAT,CHICKEN,94342.84999999996,26042.0,1891,0.7564,0.054505866523921816,0.3877742462939972,44996.04999999999,49346.79999999998,4350.749999999993
SEAFOOD-PCKGD,SEAFOOD - MISC,2354.740000000001,1325.0,575,0.23,0.004097886315302151,0.0926376247713008,1021.96,1332.7800000000004,310.8200000000004
GROCERY,BLEACH,9671.290000000012,4145.0,1167,0.4668,0.01285065320235529,0.07824308559412753,4211.1500000000015,5460.140000000006,1248.9900000000043
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,13504.340000000022,5882.0,1373,0.5492,0.01632644203642887,0.1919557558120579,6031.400000000009,7472.940000000006,1441.5399999999972
SEAFOOD,SEAFOOD-FRESH,19838.780000000006,3335.0,703,0.2812,0.009761866871139018,0.16999115969490272,8714.380000000001,11124.400000000001,2410.0200000000004
DRUG GM,COFFEE FILTERS,4502.800000000001,1773.0,725,0.29,0.005956945067345669,0.07179806188012922,1915.3900000000003,2587.4100000000008,672.0200000000004
MEAT,TURKEY,21258.66999999997,3858.0,972,0.3888,0.01012355145324865,0.301350653063201,10021.410000000002,11237.26,1215.8499999999985
DELI,SUSHI,5162.849999999998,911.0,126,0.0504,0.002278612867290693,0.0003872329302883919,2200.41,2962.4399999999987,762.0299999999988
DRUG GM,LAWN AND GARDEN SHOP,3187.5500000000006,560.0,189,0.0756,0.0010886705921499978,0.12726530992205054,1098.18,2089.370000000001,991.1900000000007
SEAFOOD-PCKGD,SEAFOOD-FRESH,4496.7800000000025,1540.0,401,0.1604,0.0038989597951418526,0.18274836796115068,2237.3200000000006,2259.4600000000005,22.139999999999873
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),5653.200000000005,1171.0,460,0.184,0.0032298433182390302,0.2053308029486533,2293.1100000000006,3360.090000000002,1066.9800000000014
NUTRITION,CONDIMENTS,1630.4099999999999,463.0,176,0.0704,0.0014069530244064756,0.07869263761040196,751.57,878.8399999999999,127.26999999999987
NUTRITION,PREPARED/PKGD FOODS,2862.3500000000004,1312.0,194,0.0776,0.0024305203917767393,0.06952120712734043,1346.0900000000001,1516.2599999999998,170.16999999999962
DRUG GM,COUPON/MISC ITEMS,185.20000000000002,17.0,12,0.0048,4.70189956742524e-05,0.0,175.95,9.25,-166.7
NUTRITION,DRY TEA/COFFEE/COCO MIX,710.8300000000002,209.0,80,0.032,0.0005389100273433544,0.13473353162026427,313.7300000000001,397.1,83.36999999999995
FLORAL,FLORAL-ACCESSORIES,604.1500000000001,115.0,66,0.0264,0.00029658135732989974,0.0018174308137133418,281.6,322.55,40.94999999999999
FLORAL,FLORAL- HARD GOODS,1773.1600000000003,310.0,169,0.0676,0.0008644261512420248,0.007133658099557646,526.46,1246.7000000000003,720.2400000000002
DRUG GM,SEWING,363.25,197.0,131,0.0524,0.0005461437189855471,0.038715994495607066,195.28,167.97000000000003,-27.309999999999974
VIDEO RENTAL,UNKNOWN,21.46,11.0,3,0.0012,1.4467383284385354e-05,0.3761627906976744,21.46,0.0,-21.46
DRUG GM,LONG DISTANCE CALLING CARDS,690.5699999999999,63.0,30,0.012,0.00022062759508687663,0.01837953091684435,228.98000000000002,461.59,232.60999999999996
